feature,effect,abs_effect,rank
diff_abs_mean,-0.0038220739185692437,0.0038220739185692437,1
mean_drawdown,0.0011389189457525835,0.0011389189457525835,2
rolling_std_30d_mean,-0.00023665949698254126,0.00023665949698254126,3
min,0.00011546174384240995,0.00011546174384240995,4
std,-8.42527472177151e-05,8.42527472177151e-05,5
max,1.1281662277577056e-05,1.1281662277577056e-05,6
median,9.683114078415192e-06,9.683114078415192e-06,7
trend_intercept,3.954108121504596e-06,3.954108121504596e-06,8
