pump_idx,equipment_id,check_item_id,u_mean,u_lower,u_upper,rank,significant,u_group
54,327855,0.0,6.434460850771691,5.813197636415307,7.0609169408949155,1,True,positive
55,327856,0.0,6.432357068342695,5.823770141552522,7.047598981338196,2,True,positive
14,265715,0.0,5.9003173593986995,5.295607624389248,6.49719803696795,3,True,positive
50,327851,0.0,5.143644585305764,4.4395347455590635,5.81746305685917,4,True,positive
79,327881,0.0,4.670716229699504,4.073122160942864,5.274612063457066,5,True,positive
111,519177,0.0,4.00726879546811,2.887175000957151,5.037622081399357,6,True,positive
27,315215,0.0,3.857375322090393,1.3679725956598001,6.86905178509465,7,True,positive
98,386665,0.0,3.820980306438125,3.234866684560294,4.391048584202356,8,True,positive
97,386664,0.0,3.5938954458938226,3.0027143566130863,4.1767068019228715,9,True,positive
16,265769,0.0,3.5921454959879644,3.000193352813069,4.1949160674549315,10,True,positive
96,386663,0.0,3.3140874168466343,2.7277503217551438,3.8835104159291,11,True,positive
23,315153,0.0,3.2865464859494145,2.6957679977131934,3.878054756255571,12,True,positive
49,327280,0.0,3.281103283575232,2.6960614517296335,3.876640887891375,13,True,positive
24,315210,0.0,3.2793978879055636,2.2835746188098724,4.2374896910296505,14,True,positive
39,322220,0.0,3.2495552855252785,2.653319217244115,3.8288190657623105,15,True,positive
80,327882,0.0,3.237746051758053,2.631000648931537,3.8698724583210256,16,True,positive
34,322034,0.0,3.2361601122639416,2.6670501813919785,3.8185888820515017,17,True,positive
42,327241,0.0,3.1976007788114167,2.5884770485281083,3.785651501935985,18,True,positive
43,327242,0.0,3.1814676362402006,2.5879605609589995,3.7852869606028223,19,True,positive
41,327240,0.0,3.1622437716307257,2.5287538803,3.7717070668170796,20,True,positive
20,267651,0.0,3.136708517317384,2.5436834996674027,3.7570425262652574,21,True,positive
38,322219,0.0,3.079121077023333,2.4896253330933877,3.6666424964452746,22,True,positive
3,265696,0.0,3.0622760270627016,2.482630497260578,3.644131289622671,23,True,positive
4,265697,0.0,3.05070895187819,2.471436662145668,3.6191045621655062,24,True,positive
35,322196,0.0,3.033065970193907,2.4422131004823937,3.6092115738706254,25,True,positive
105,409053,0.0,3.0311650319726082,2.3873440482025914,3.6507404119570337,26,True,positive
40,327239,0.0,3.0142419944664742,2.4145979289314985,3.607041883519784,27,True,positive
45,327244,0.0,2.9636070204051643,2.3688158924749727,3.5828442186097367,28,True,positive
48,327279,0.0,2.9316683728297557,2.3236585194996318,3.5277245929212375,29,True,positive
5,265698,0.0,2.902916195164421,2.309046825439694,3.4887766608317965,30,True,positive
1,265694,0.0,2.788973142056322,2.2209786330391763,3.366951173652279,31,True,positive
44,327243,0.0,2.7382935508627857,2.1572902797478233,3.318646685149983,32,True,positive
0,265693,0.0,2.718934366364047,2.155238223247609,3.2894079833921754,33,True,positive
37,322212,0.0,2.6543010630576065,2.045428431160626,3.2567987290358227,34,True,positive
33,317143,0.0,2.5867475288087722,1.906678074711788,3.2442717054652337,35,True,positive
104,409052,0.0,2.5507560524609323,1.9436556497152615,3.166241800543361,36,True,positive
