feature,effect
diff_abs_mean,-0.0038220739185692437
mean_drawdown,0.0011389189457525835
rolling_std_30d_mean,-0.00023665949698254126
min,0.00011546174384240995
std,-8.42527472177151e-05
max,1.1281662277577056e-05
